gameName,gameUrl,contentType,discount
Warp,https://marketplace.xbox.com/en-US/Product/66ACD000-77FE-1000-9115-D802584111DC,Xbox 360,90%
Watch Dogs,https://marketplace.xbox.com/pt-BR/Product/66ACD000-77FE-1000-9115-D802555308B7,Xbox 360,80%
Wing Commander Arena,https://marketplace.xbox.com/pt-BR/Product/66ACD000-77FE-1000-9115-D80258410868,Xbox 360,90%
Worms Revolution,https://marketplace.xbox.com/en-US/Product/66ACD000-77FE-1000-9115-D80258411290,Xbox 360,50%
Worms: Ultimate Mayhem,https://marketplace.xbox.com/pt-BR/Product/66ACD000-77FE-1000-9115-D80258410AFD,Xbox 360,75%
WRC 5 FIA World Rally Championship,https://marketplace.xbox.com/pt-BR/Product/66ACD000-77FE-1000-9115-D802573607E2,Xbox 360,90%
Yar’s Revenge,https://marketplace.xbox.com/en-US/Product/66ACD000-77FE-1000-9115-D80258410AA1,Xbox 360,80%
Yie Ar Kung-Fu,https://marketplace.xbox.com/en-US/Product/66acd000-77fe-1000-9115-d80258410816,Xbox 360,50%
Zeit²,https://marketplace.xbox.com/en-US/Product/66ACD000-77FE-1000-9115-D80258410AA9,Xbox 360,80%
Zombie Driver HD,https://marketplace.xbox.com/en-US/Product/66ACD000-77FE-1000-9115-D80258410B41,Xbox 360,75%
